"","X","country","session","year","text"
"1",41,"AFG",66,2011,"I am honoured to be here to read the statement of my President  His Excellency Hâmid Karzai  who had to return from New York to Kabul on an urgent basis  following the tragic assassination  through a terrorist plot  of Afghanistan’s former President and Chairman of the High Peace Council  Mr. Burhanuddin Rabbani.  The President’s message begins:    “It is a great honour to address the General Assembly at this year’s session  although I regret that I am unable to do so in person. I was here in New York the day before yesterday and had looked forward to attending this important session of the Assembly. I had to return to Kabul after the tragic news of the martyrdom of former President and Chairman of the Afghan High Peace Council  Professor Burhanuddin Rabbani. He was assassinated in a cowardly terrorist plot by the enemies of peace in our country.   “As I speak  the Afghan nation is mourning the loss not only of a valued and deeply respected national figure  but a champion of peace who worked tirelessly  up to the last moment of his distinguished life  for peace in his country. On behalf of the Afghan people  I am grateful for the messages of condolences expressed by leaders around the world at this terrible national loss in Afghanistan.   “As the single largest gathering of nations  the Assembly is the highest manifestation of the plurality of our world. It is also the most solemn opportunity we have  once a year  to bring to global attention our national concerns and to issues that are  in our view  of concern to the wider world.   “Over the past year  the world saw not only political volatility of historic proportions in the Middle East  but also an unabated global economic crisis  huge increases in the prices of food and energy and enormous devastation wrought by natural disasters. Most countries around the world have seen aggravated conditions of life for their peoples  and for many others the future looks continuously bleak. In short  we live in times of uncertainty and crisis  and it is at times like these that international cooperation gains true relevance and meaning.   “Ten days ago  this very city marked the tenth anniversary of the 9/11 terrorist attacks. On behalf of the people of Afghanistan  who have experienced the scourge of terrorism in its worst imaginable form  I pay homage and respect to the memory of the 9/11 tragedy and commiserate with the people of the United States for their sense of loss  which this anniversary has rekindled.   “On this occasion  I urge the Assembly to also reflect on the millions of lives around the world that were touched by terror and violence before 9/11 and those that have been lost to terrorist violence over the 10 years since.    “My country  Afghanistan  has suffered the most  but many — from Pakistan to India  Iraq  Europe and many others around the world — have fallen victim to this modern-day enemy of peace. I urge the Assembly to also honour the sacrifices many nations have made in the fight against terrorism around the world. Above all  however  I ask that we pause and take stock of where we are 10 years after the world was shaken into an unprecedented resolve to act in the face of a common enemy.   “Later this year  Afghanistan will also mark the anniversary of 10 years of the new political era heralded by the end of the Taliban rule and characterized by the beginning of a journey towards a peaceful  prosperous and democratic way of life. There is so much that we have to celebrate in the enormous achievements we have had  with the solidarity and generous help of the international community. These 10 years have been a truly unique chapter in the history of our ancient country.    “Grasping the opportunity  we took bold steps to reunite the country after decades of strife and violence  laying the foundations of a young democracy. Our social and economic accomplishments are phenomenal  greater by comparison than in any other period in our country’s history. Never before have the Afghan people enjoyed comparable access to education and health or seen a greater development of infrastructure across the country.    11-51179 6    “Regrettably  the sense of gratitude and pride we feel at our achievements is tempered by the absence of a key ingredient of any country’s development  namely security. Despite the Afghan people’s sincere embrace of the international fight against terrorism and the immeasurable sacrifices made on this path  we have yet to reap the rewards of experiencing a life free from violence and terror.   “We Afghans are proud to have partnered  over the past 10 years  with the world’s struggle against terrorism. While together we have fought and crushed extremists in some of their long-held strongholds  elsewhere they have continued to thrive. Today  we see a worrying trend towards increased radicalization of the youth. Al-Qaida  despite the elimination of its leaders  remains active in the region  and the Taliban militancy maintains its deadly spectre over my country. Both continue to receive sanctuary and support in the region  which keeps them alive. This sanctuary problem is  without a doubt  the Achilles’ heel of this war.    “To the extent that international terrorism and extremism remain real threats to international security  peace will remain mortgaged to the success of the fight in the region. To succeed  however  we must fundamentally review and adjust our approaches in this fight. It is urgent that we focus our strategy to make our collective struggle more objective and results-oriented. Our enemy must not be defined by a selective treatment of the geography to which we have access  but by an assessment of the threat it poses  regardless of where it may be based.   “The Afghan people remain ardent supporters of the fight against international terrorism  despite having suffered unspeakable losses in this endeavour. However  we fail to see the efficacy of the fight in which ordinary citizens bear the brunt while terrorist sanctuaries remain untouched  far away from the towns and villages of Afghanistan. The continued credibility of the fight will depend above all on taking its focus to where terrorism originates.   “On the other hand  when it comes to the Taliban insurgency  we do not see military action as the only solution. In our eager quest for restoring peace to the lives of our people  we have extended a hand of peace and reconciliation to all those Afghans who have had reason to remain outside the boundaries of the current political process in Afghanistan.   “Led until now by the late Mr. Rabbani  who is tragically no longer among us  through the High Peace Council  and supported by our partners from the international community  the peace process is a comprehensive effort. It covers the reintegration of armed combatants into dignified civilian life and reconciles the leadership of the Taliban.   “The reconciliation policy is based on our commitment to make the political process more inclusive and to provide a genuine and acceptable alternative to violence for all Taliban and other militant leaders  most of whom are currently based outside Afghanistan. Those leaders are welcome to return home and play their proper role in Afghan politics and Government — provided that they break ties with Al-Qaida  give up violent activities and accept the Afghan Constitution. Clearly  without sincere cooperation from regional and international partners  notably the Islamic Republic of Pakistan  this strategy will not succeed.   “The year 2011 is a crucial year for Afghanistan. The most important development for our country was the commencement of the transition process last July. This process will see the complete transfer of security responsibility from international forces to Afghans by the end of 2014. With the completion of the transition process  we Afghans and our international partners will achieve the most important strategic goal of our 10-year partnership: the emergence of a sovereign Afghanistan that is self-reliant and is the peaceful home of all Afghans  an Afghanistan that is at peace and lives in peace with the rest of the world.   “Needless to say  the success of the transition process depends on  besides the demand and solid resolve of the Afghan people  the continued support of the international community. The role of our NATO partners  particularly in terms of the capacity development of our security institutions  will be vital.   7 11-51179    “On the other hand  transition is not just limited to security. Indeed  while transition is both desirable and inevitable  the economic effect of the withdrawal of foreign forces from Afghanistan needs to be managed carefully. In other words  for Afghanistan to become truly self-reliant  apart from the security transition  we will need a comprehensive economic transition. That transition will take much longer than the security transition and will require the continuation of steadfast support on the part of our international partners beyond 2014.   “In this context  we look forward to the much awaited International Conference on Afghanistan  to be held in Bonn  Germany  on 5 December 2011. Hosted by Germany and chaired by Afghanistan  the Bonn conference will be an opportunity for us to brief our international partners about the major Compact accomplishments of the past 10 years  and in particular about the progress of the Transition and reconciliation processes.   “Most importantly  at Bonn we will call for continued commitment of the international community to assist Afghanistan in the post-2014 period  after the foreign military presence on Afghanistan soil comes to an end. To that end  we will share our vision for the next 10 years — the vision of developing Afghanistan into a stable country  a functioning democracy and a prospering economy. As a country at the centre of an emerging ‘new silk road’  Afghanistan can become a regional hub for trade and transit. This vision is worth all the efforts we Afghans can muster  as well as all the support we can get from the international community.   “As a framework for long-term partnership  we will call for a new paradigm of cooperation between Afghanistan and our friends and partners. The strategic partnership that we are currently negotiating with the United States and other partners  including the European Union  will be a model for the kind of enduring and comprehensive partnership we wish to have with members of the international community. Such partnerships will help guarantee Afghanistan’s security and stability  as well as assist our future economic development. I emphasize that neither our strategic partnership with the United States  nor any other partnerships we will forge in the future  will be a threat to our neighbours or to any other country.   “I also emphasize that in the context of these future partnerships  the principle of Afghan sovereignty and the centrality of the Afghan State must be given due credence; the manner of our continued partnership should conform to the requirements of a sovereign Afghanistan. As an important step in this direction  all the parallel structures created by the international community  be it in the security  governance or development arenas  must be removed to make space for the emergence of genuine and capable indigenous institutions.   “In particular  the role of the United Nations in Afghanistan must be adjusted to the requirements of Afghan sovereignty. I welcome the review of the mandate of the United Nations Assistance Mission in Afghanistan  as authorized by the Secretary-General. In the months ahead  we look forward to participating in this review and to its positive conclusion.   “On the subject of regional cooperation  we are currently working closely with Afghanistan’s old friend and brother  the Republic of Turkey  towards a regional conference to be held in Istanbul on 2 November 2011. Hosted by Turkey and championed by Afghanistan  the Istanbul Conference will help build a common regional vision for peace and stability. The Conference will recognize Afghanistan’s quest for stability  as well as the region’s growing need for confidence-building and cooperation in the face of the common challenges we face  notably terrorism  extremism  the drug trade and obstacles to legitimate interaction and movement  to name but a few.   “Over the past 10 years  we have undertaken numerous initiatives to promote regional cooperation  mainly with a view to trade and economic activities. However  we have learned that unless we boldly address our political differences and the deficit of trust and confidence that divides the region  regional cooperation will remain an aspiration. It is for that very reason that at the Istanbul Conference we will aim to focus on political and security issues.    11-51179 8    “In the coming weeks  we will expect to consult with all countries in the Heart of Asia region to develop a common understanding in the run-up to the Conference.   “In today’s interconnected world  developments in Afghanistan and the surrounding region are hugely influenced by events in the wider world. Therefore  we in Afghanistan are closely watching the situation in the Middle East. As a nation that has experienced war and destruction for many years  the eruption of violence in these countries fills us with anxiety. We are particularly concerned by the developments in Libya. We recognize the National Transitional Council as the legitimate Government of Libya. However  based on our own experience  we urge the brotherly Libyan nation to recall that the shortest route to peace will be through ensuring inclusivity and safeguarding the unity of the Libyan nation.   “The people of Afghanistan deeply sympathize with the plight of our brothers and sisters in Palestine. We reiterate our call for an immediate end to their suffering and the realization of their inalienable rights  including the right to an independent State. In this connection  we stand firmly behind the efforts aimed at Palestine’s admission as a full Member    of the United Nations. I hope that this year we will witness  with pride  the inclusion of Palestine as the 194th Member of the United Nations.   “The Afghan people also shared the pain of the loss experienced by the Japanese people when the natural disasters struck earlier this year. Japan is a longstanding friend of Afghanistan  and we are confident that this great nation will soon overcome the challenges of recovery.   “The Assembly is a manifestation of our collective will to stand together against the challenges that face human society and to realize the potential for a peaceful and prosperous world for all. Our gathering here is also a testimony to the valuable role that the United Nations plays in the realization of our collective will. I applaud the remarkable leadership that Secretary-General Ban Ki-moon has demonstrated in steering the United Nations in a direction where it can truly become an asset to a peaceful world.   “Finally  many countries from across the globe have stood in solidarity  over the past 10 years  with the Afghan people. On behalf of the people of Afghanistan  I again thank them for their support.”"
"2",80,"AGO",66,2011,"I would like to take this opportunity to congratulate the President of the General Assembly on his election to preside over the work of the Assembly at its sixty-sixth session and to assure him of Angola’s support and cooperation in ensuring success in the work of this session. I also want to express our gratitude to his predecessor  Mr. Joseph Deiss  for the competent and impartial manner in which he conducted the proceedings of the Assembly at its sixty-fifth session.   Allow me to also congratulate the Secretary-General on his reappointment and to assure him of my Government’s support for the success of his very complex and demanding mission in the service of peace and cooperation among nations  a cornerstone of the mandate embodied in the Charter of the Organization.  We congratulate the Republic of South Sudan on its admission as a Member of the United Nations. We wish South Sudan a future of peace and prosperity and would like to say that the Government of Angola stands ready to cooperate with this new State’s efforts to consolidate its independence and its socio-economic development.  We also welcome the establishment of UN-Women. We are certain that it will give further impetus to the promotion and empowerment of women and the achievement of their legitimate rights.  This session of the General Assembly takes place at a particularly complex juncture in the international situation  which is characterized by so many crises that   11 11-51398  I believe it is not an exaggeration to say that they challenge the very foundations of our international Organization. If we were to list them  although not exhaustively  we could mention the current economic and financial crisis  which triggered the most serious social crisis witnessed to date by our generation; a dangerous environmental crisis of unpredictable consequences for the future of humankind  which will be irreversible unless the international community as a whole applies immediate and courageous measures; and a general escalation of violence and outbreak of conflict  which  combined with the environmental crisis  has caused the most serious humanitarian crisis that humankind has witnessed since the end of the Second World War. In brief  we are living in dangerous times  where a combination of factors is endangering stability  peace and security in the world.  The analysis of the current international situation made by the majority of the speakers who preceded me  and which we agree with  constitutes an appeal to our collective responsibility.  A particularly disturbing factor is the current economic and financial crisis  which has affected virtually every country in the world  in particular developing countries  with serious consequences for political stability and social cohesion.  It is therefore urgent that we find solutions to these problems. That will require strengthening international cooperation on the basis of greater justice and equality. Moreover  it is urgent that we take measures aimed at deepening economic reforms within States that promote economic growth and social development.  Angola is extensively affected by the international economic and financial crisis. We have therefore adopted a set of measures to mitigate its most adverse effects. Without prejudice to the maintenance of macroeconomic balance  we have focused considerable resources on social development and combating poverty.  The theme of this session of the General Assembly — “The role of mediation in the settlement of disputes through peaceful means” — reflects the deep concern of the international community with regard to the need for an integrated approach to resolving conflicts that affect it. That is what makes it necessary to implement mediation efforts after conflicts have started. Conflict prevention should be the key element in the management of any area of tension.  Respect for fundamental rights and freedoms  the rule of law and good governance are key elements in ensuring that any human society can live in peace and harmony. They are also the main guarantors of effective conflict prevention.  There are other elements I would like to mention that are also important causes of the spread of conflict. I am referring here to external interference  which  in gross violation of international law  frequently obstructs efforts at mediation and peaceful resolution and prevents the reaching of solutions to conflicts.  Angola has paid a very high price as a result of such interference  which for too long compounded a fratricidal conflict that Angolans were finally able to settle and wisely overcome with magnanimity  fairness and inclusion  thanks to the leadership of our President. The role of Angola and its contribution to internal and regional peace should be seen in the broader context of conflict resolution. In that regard  the implementation of the landmark Security Council resolution 435 (1978) led to the independence of Namibia and created the conditions for peaceful coexistence in a region that had endured extreme hostility and constituted a permanent threat to world peace.  Imbued with a spirit of fraternity  the Government of Angola has spared no effort in pursuing its policy of effective reconciliation  which has allowed the reconciliation of all its children who were previously involved in the conflict. There has been genuine investment in peace  which has been a decisive factor in the process of post-conflict reconstruction. Angola has served as a reference point for the resolution of several conflicts on the African continent. Moreover  we have spared no effort in sharing our experiences with other peoples and countries.   Also in the context of conflict resolution  it is important to strengthen the role of multilateralism while adhering to the principle of shared responsibility and shared benefits  recognizing the legitimate interests of all parties and engaging in consultations and dialogue in the search for workable solutions to international peace and security issues.  There is therefore a need to refer to the instruments of cooperation between the Security Council and the African Union  as well as to the role of    11-51398 12  the United Nations and regional institutions in preventing and resolving conflicts. It is of crucial importance to strengthen the action of regional organizations in the management of situations that may constitute threats to peace and security. In that connection  the Security Council has the primary role in preventing and resolving conflicts and in maintaining peace  in accordance with the powers conferred upon it by the Charter of the United Nations.   The central theme of our debate has drawn attention to the need for reform of the Security Council  including the imperative of achieving fair representation for all regions and increasing the number of permanent members  thereby adapting the Council to contemporary reality.  With regard to peaceful cooperation at the regional level  Angola is a member of the Southern African Development Community (SADC)  the Economic Community of Central African States  the Gulf of Guinea Commission and the Community of Portuguese-speaking Countries (CPLP)  which  with several partners  has acted on the basis of preventive diplomacy in the search for peaceful solutions to the various crises that have arisen.  With regard to the constitutional crisis in Madagascar  SADC mediated the recent signing by all parties involved of the road map for the implementation of the reconciliation process  which is intended to lead to elections and the restoration of constitutional order. That was an important breakthrough in the process  which Angola welcomes.  Guinea-Bissau  our brotherly country and partner in the Community of Portuguese-speaking Countries  has been the subject of special attention by Angola. As part of the CPLP  Angola and other member States have striven to establish a strategic partnership with the Economic Community of West African States under the coordination of the United Nations  aiming to bring political stability to the country so that it can carry out major structural reforms  in particular the reform of the defence and security sectors. We welcome the positive developments that the country is now experiencing and we encourage the authorities of Guinea-Bissau to vigorously pursue the process of stabilization.  The drought in the Horn of Africa is a cause of deepest concern for my country and the entire international community. The consequences of drought in Somalia are felt even more profoundly due to the prevalence of armed conflict  which compounds the humanitarian crisis  shocks the world’s conscience and calls for a redoubled effort by the international community. Angola has joined the international humanitarian assistance efforts under way  as well as the search for political solutions to end the armed conflict and open new prospects for a better future for the Somali people.  With regard to the situation in Libya  the Angolan Government hopes that the Libyan people can find stability in the very near term. That can only be achieved through the free exercise of their democratic rights. In that regard  Angola urges the National Transitional Council to promote genuine national reconciliation and to form an inclusive Government  as those are prerequisites for ensuring that Libya can regain its rightful place in the African and international arenas. However  we must make use of lessons learned with a view to achieving more effective cooperation between external partners and the African Union in seeking joint solutions based on international law and mutual respect.  Angola remains concerned about the limited progress in addressing the problem of Western Sahara  which remains an important issue on the international agenda. We call on the warring parties to resume negotiations under the auspices of the United Nations and the African Union  so that the people of Western Sahara can exercise their right to self-determination.  The situation in the Middle East  particularly in the Palestinian territories  is one of the most serious problems facing the international community. Angola is witnessing with great concern the escalation of the conflict and the lack of progress towards a solution of the Palestinian question. In line with the general position of the international community regarding the conflict  my country advocates the establishment of an independent Palestinian State  living side by side with the State of Israel  in peace and security  within secure internationally recognized borders.  As in previous sessions  the sixty-sixth session of General Assembly will address the embargo imposed on Cuba  which violates the rules of international free trade. In spite of the timid steps taken towards normalizing the situation  Angola reiterates its position of principle by reaffirming the need to end the embargo against Cuba.   13 11-51398   Angola has been making its contribution to finding solutions to the most pressing problems. Within the broader international community  we have sought to cooperate with all countries based on mutual respect and interests  upholding the highest ideals of peace and cooperation for development. We will continue on this path  firmly believing that the defence and promotion of these principles contribute to the development and advancement of all peoples."
"3",127,"ALB",66,2011,"First  I would like to extend my heartfelt congratulations to the President of the General Assembly on his election. I wish him every success in leading the work of the Assembly at its sixty-sixth session. I would like to express my gratitude to his predecessor for his invaluable contribution. May I also take this opportunity to extend special thanks to Secretary-General Ban Ki-moon for his excellent organization of this session and for his wise and determined leadership at the helm of the   29 11-51360  United Nations over the past few years. I wish him the utmost success over the four years ahead.  Our world today is experiencing major and complex crises that threaten the peace and stability of several regions and our planet as a whole. However  this year’s spring was a great and historic one for Africa and the entire world. More than 125 million oppressed people stood up with courage  determination and sacrifice and overthrew tyrannical regimes in five countries in Africa and opened the gates of freedom for their nations.  As a representative of a country that only 20 years ago brought down the Hoxhaist dictatorship — the worst that Albania and Europe had ever known — I would like to cordially welcome and salute the representatives of Egypt  Tunisia  Libya  South Sudan and Ivory Coast who are present at this Assembly session. Today  we pay tribute to the thousands of citizens of those countries who with great courage and legendary bravery lost their lives in order to liberate their countries from ruthless tyrannies and who made their countries  the African continent and the entire world more free and more just than ever. With their sacrifices  however  those who fought and fell in the name of freedom have delivered a sacred message to the very hearts and minds of all oppressed people on our planet: Be not afraid!  On the twentieth anniversary of the fall of the communist dictatorship  despite the unquestionable difficulties inherent in building a democracy based on market values  Albania has continuously affirmed that for the individual  our society and our nation as a whole freedom is the greatest of all assets and riches.  Twenty years ago  Albania was one of the three poorest countries in the world  plagued by extreme poverty and chronic starvation. Today  Albania belongs to the group of countries with middle to upper income levels. Formerly a totally hyper-collectivized country  today it has the smallest public sector in Europe  with more than 84 per cent of its gross domestic product (GDP) coming from the private sector.  Twenty years ago  human rights and freedoms were forbidden under the country’s Constitution. Today  Albania is a country with a functional democracy  freedom of speech and free elections and in which there is full respect for minority rights and religious tolerance par excellence.  Albania was the most isolated country in the world. Now  it is a member of the North Atlantic Treaty alliance and makes its contribution to peace and stability in the region and beyond  while remaining firmly focused on its path towards European Union integration. Today  Albanians travel freely throughout Europe  while the number of foreign citizens who have visited Albania for tourism and other purposes has increased  from 300 000 in 2004 to 3.5 million last year.  Recently  during this period of major European and global financial crises  Albania’s economy remained one of the few in the world that did not experience a recession. The United Nations Conference on Trade and Development estimates that global foreign direct investment decreased by 37 per cent from 2007 to 2010  while the same source confirms that in Albania it grew by 316 per cent from 2006 to 2010. Over the past few years  Albanian exports have grown by 300 per cent. Unemployment has decreased  and so has poverty  by a margin of some 30 per cent. Our economic model is based entirely on economic freedom. Last year  that freedom suffered a major setback worldwide  whereas in my country it increased by 16 per cent.  The Albanian economy is not detached from the global economy. In fact  the opposite is true: being a small economy  it is linked to and affected by it. That is why I believe that four main factors determine its performance.  The first factor is a small government and public sector. Albania’s public administration and public sector are at least 50 per cent smaller than those of any other similarly sized country in the region and beyond. Furthermore  I am pleased to state that my Government ranks among the top 10 Governments with the lowest level of interference in the economy.  Secondly  Albania is a country of flat-rate taxes. At 10 per cent  its fiscal burden is the lowest in Europe. The increase in fiscal freedoms and the successful fight against corruption allowed our country to double its budgetary revenue from customs and taxes in four years’ time.    11-51360 30   Thirdly  we invested heavily in infrastructure to stimulate growth. My Government has spent 8 per cent to 10 per cent of our GDP on road infrastructure alone  three years in a row. A total of 8 000 km of new roads have been constructed  more than in the entire history of the country. Within the next two years  Albania will have a new and modern road infrastructure that will allow our citizens as well as foreign visitors to reach our capital  Tirana  from any part of the country in 60 per cent less time than previously required.  Fourthly  we have made it easier to open a business or expand an existing one by putting in place an efficient digital one-stop-shopping system for business registrations  licences and permits  and by drastically reducing bureaucratic procedures.  Yet the debt and the euro crisis are hanging like the sword of Damocles over our national currency  the lek  and our economy. I take this opportunity to call upon the countries of the eurozone to take into consideration the effects of the crisis on our economy and others that are closely linked to the euro.  The greatest desire and fondest dream of all Albanians is to see Albania become a developed country. I know that the road ahead of us is not smooth; it may be bumpy at times  but it is also the one that will take us higher and higher. I am convinced that it is a righteous and a sure path of hope by which the dream of a fully developed Albania will come true.  To achieve that dream  the Government of Albania is committed to sustainable development. Developing countries and emerging markets such as that of Albania face countless difficulties  but they also have the advantage of learning from the mistakes of developed countries and being able to avoid them. With that in mind  we are determined to turn Albania into a small superpower of renewable energy in the region. With its rich water resources  Albania resembles a small Norway on the Balkan peninsula. My Government has already signed with the private sector a concessional contract for the construction of 220 of the 450 hydropower stations that are to be built. Companies from all over Europe and the rest of the world are already engaged in that process.  Additionally  major natural wind platforms exist throughout the country  and the Government has given and is giving licenses for the production of thousands of megawatts of electricity by wind parks. Albania is also one of the sunniest places in Europe  and the Government is determined to exploit solar as well as geothermal energy.  I believe that in addition to the major efforts necessary to achieve an international legal framework to prevent global warming and lower greenhouse-gas emissions  we must speedily reach an agreement stipulating that a percentage of the aid that generous donors are offering to support this cause be used for the purpose of supporting private-sector companies that are focused on renewable energy projects. Such funds could be used to cover the cost of the loan interest incurred in realizing renewable energy projects. I am sure that they will increase manifold the production of renewable energy in the very near future.  To combat climate change and improve environmental conditions  forestation is also very important. The United Nations Billion Tree Campaign has been met with a successful response by many countries and deserves credit as a first important step. However  our potential is much greater.  The Government of Albania has started an ambitious programme aimed at taking advantage of our country’s potential in terms of fruit trees. We intend to plant  in the next eight years  some 50 million olive trees and around 200 million nut trees of different varieties. The project  which started two years ago  is subsidized by public funds. I am pleased to inform the Assembly that this project is moving rapidly ahead and that it has given rise to a real and unprecedented tree-planting passion on the part of my fellow citizens. Albania will welcome any and all help from the United Nations and its Member States to successfully complete this project.  Albania fully supports the Open Government Partnership initiated by the President of the United States  Barack Obama  and the President of Brazil  Dilma Rousseff; that is why we have joined the initiative. Our efforts towards an open Government have as a primary objective the project entitled “Albania in the digital age”. In a short time  we have expanded access to the Internet to all our schools and have started offering free Internet service to every citizen in all post offices throughout the country.  A total of 2.1 million Albanians have availed themselves of this opportunity and have surfed the Internet  many of them for the first time in their lives. This has helped increase the percentage of the population in Albania using the Internet from a mere   31 11-51360  4.8 per cent in early 2006 to 60 per cent today — roughly two thirds of the population. Free Internet service will continue to be available in all post offices and in some additional offices to be opened for that purpose. Moreover  the Government is fully committed to making super-broadband Internet available over the next two years and to guaranteeing one-stop-shopping services to citizens throughout the country.  We believe that the digital age is above all the age of transparency. Based on this belief  Albania two years ago became the first country in the world with a 100 per cent electronic procurement system certified by the United Nations. That system has led to a sixfold increase in participating public bids  reducing procurement costs by 27 per cent. Today Albania is a country featuring e-tax  e-customs  e-university admissions  and e-business registration and e-civil status registry. The Government intends to offer all those services and others in a one-stop-shop context in the very near future.  E-government and transparency strengthen democracy  and our law also guarantees free access for our citizens to all acts  decisions and public expenditures of the Government. In order to strengthen the role of civil society  my Government has for the past two years had a specific budgetary provision in that respect that is entirely administered by an independent board of civil society.  Albania has excellent relations with its immediate neighbours and  in general  with the countries of the region. We would like to develop and consolidate further relations with the Republic of Serbia as well. I am very pleased to inform the Assembly that the Government of Kosovo possesses an equally strong will in the area of good-neighbourly relations and has shown assiduous commitment and seriousness in the process of negotiations in Brussels. The International Court of Justice decided in July last year in The Hague that Kosovo’s declaration of independence was in full compliance with international law.   The Republic of Kosovo has been recognized by more than 80 States  and I take this opportunity to call upon the rest of the States Members of the United Nations to recognize the independent republic of Kosovo  which has become  in fact  an important factor for peace  stability and cooperation in our region. I also call upon Serbia  which went through the General Assembly to ask the opinion of the International Court of Justice  to adapt its position in line with the decision of the Court  thus demonstrating that it accepts and respects international law in its entirety and not only those parts that serve its cause.  In accordance with President Ahtisaari’s package  and in close cooperation with the European Union Rule of Law Mission in Kosovo (EULEX)  the International Security Force in Kosovo (KFOR) and other international institutions present in the country  the republic of Kosovo has put in place and implemented the highest standards in the region and beyond as regards the freedoms and rights of minorities.  The most worrying problems for the Serbs in Kosovo today are the tensions created and orchestrated for nationalistic purposes. Serbian cultural heritage in Kosovo is today more secure than ever. It is a precious cultural heritage not only for the Serbs in Kosovo but also for Albanians and all other citizens of Kosovo  as well as for Serbia  the entire region and the whole of Europe. I would like to reassure the representatives of the Member States that the only threat Serbs in Kosovo face is that of being exploited to serve the purposes of a bitter past that must not ever return.  Meanwhile  inter-ethnic relations in all areas where Serbs and Albanians live together in the same communities are very good. However  the parallel structures funded by Belgrade in the three Serbian homogeneous communes in northern Mitrovica  where no other ethnic groups reside  have turned them into a safe haven for organized crime and smuggling and trafficking of all sorts.   The Government of the republic of Kosovo is determined to implement the rule of law in those communes and engage in effective border and customs control  in full compliance with the agreement reached in Brussels and the Ahtisaari document. Those efforts  however  have met strong resistance from criminal groups and organized gangs that  with weapons and other means  are doing all in their power to block the rule of law. We have supported and will continue to support the Government of Kosovo  EULEX and KFOR in their efforts to strengthen law and order in all the territory of the republic of Kosovo so that peace and stability will prevail.   I also call on Serbia to do its best to remove the obstacles to the flow of goods across its border with Kosovo  and to respect the agreement signed this month in Brussels  which forbids the embargo and    11-51360 32  provides for freedom of export and import for both countries. We believe that respect for the actual borders in the Balkans is a fundamental condition for lasting peace and stability. Belgrade’s efforts to keep parallel structures of authority in place in those three communes demonstrate that it still believes in reshaping borders in our region based on the failed and long-outdated idea of ethnically clean countries and the concept of Greater Serbia.  The Republic of Serbia  in accordance with international law  has arrested the butcher of the Balkans and  albeit too late  his lieutenants as well  and has received the due appreciation of the international community for doing so. However  I invite Serbia to cooperate in the search for and return of the remains of 1 500 men  women  children and elderly who were abducted from their homes and massacred in the territory of Serbia only because they were Albanians. It is very important to cleanse one’s country of those who have committed crimes against humanity  but it is also important not to hide or cover over the graves of their victims.   Here yesterday  President Tadic characterized as true the accusations raised by Mr. Dick Marty regarding the alleged traffic in organs and mass killings committed by Albanians in the territory of Albania. Regarding that report  I would like to state here the stance of the Albanian Government. Dick Marty’s report — as acknowledged by the Chief Prosecutor of Serbia  Vladimir Vukcevic  who has stated that his own report is fully included in Marty’s report — is in fact a cut-and-paste of the Vukcevic’s report. Every person who reads that report sees that it raises many allegations that are not at all based on facts or the truth but rather motivated by sinister intention.   The Dick Marty report — or rather let us call it the Dick Marty/Vukcevic report — does not produce even a single fact. I must clarify that in fact it synthesizes Carla Del Ponte’s memoir  which seem to have derived from the same unique source. In the thousands of pages of transcripts of the interrogation of Slobodan Miloševic and his accusations against Albanians  there is not a single word of accusation on his part about organ trafficking or mass graves in my country. The purpose of the report is to divert attention from the decision of the International Court of Justice in favour of the independence of Kosovo.  Nevertheless  the Government of Albania has officially asked its delegation in the Council of Europe to vote to endorse the report for the sole purpose of opening the door to a thorough international investigation. My Government sent an invitation to EULEX  and we welcome the fact the EULEX accepted it. I assure everyone here that my country will fully cooperate fully with EULEX and its task force so that the truth about such inventions will be made known. When I read them for the first time in Carla Del Ponte’s memoir  they reminded me of Agatha Christie. I want the EULEX team to come and clarify everything about those fictions.  Despite all this  our region has made extraordinary progress  and efforts to cooperate in building a common future in the European Union are prevailing every day. My country is doing its best and is investing heavily in infrastructure to create new links  new roads and new lines of communication with all our neighbours. I believe that the time has come when Albanians and Serbs will try to start archiving the past and looking for a common future in the best interests of their nations.   From this rostrum  President Abbas made his request to the General Assembly for Palestine’s membership of the United Nations as an independent State. While my Government fully supports the idea of an independent Palestine  I believe that unilateral action will not be helpful. That is why I call on our Palestinian friends to support the statement made yesterday by the Quartet  in which it drew a clear road map for action to address this fundamental question of our time."
